intake number,address
1,"38601 Carmel Valley Road, Monterey County, CA"
2,"38601 Carmel Valley Road, Monterey County, CA"
3,"38601 Carmel Valley Road, Monterey County, CA"
4,"38601 Carmel Valley Road, Monterey County, CA"
5,"38601 Carmel Valley Road, Monterey County, CA"
6,"38601 Carmel Valley Road, Monterey County, CA"
7,"38601 Carmel Valley Road, Monterey County, CA"
8,"38601 Carmel Valley Road, Monterey County, CA"
9,"38601 Carmel Valley Road, Monterey County, CA"
10,"38601 Carmel Valley Road, Monterey County, CA"
11,"38601 Carmel Valley Road, Monterey County, CA"
12,"38601 Carmel Valley Road, Monterey County, CA"
13,"38601 Carmel Valley Road, Monterey County, CA"
14,"38601 Carmel Valley Road, Monterey County, CA"
15,"38601 Carmel Valley Road, Monterey County, CA"
16,"38601 Carmel Valley Road, Monterey County, CA"
17,"38601 Carmel Valley Road, Monterey County, CA"
18,"21195 Cachagua Road, Monterey County, CA"
19,"20451 Cachagua Road, Monterey County, CA"
20,"21195 Cachagua Road, Monterey County, CA"
21,"20451 Cachagua Road, Monterey County, CA"
22,"20451 Cachagua Road, Monterey County, CA"
23,"21195 Cachagua Road, Monterey County, CA"
24,"21195 Cachagua Road, Monterey County, CA"
25,"20215 Trampa Road, Monterey County, CA"
26,"20463 Cachagua Road, Monterey County, CA"
27,"19847 Cachagua Road, Monterey County, CA"
28,"21187 Cachagua Road, Monterey County, CA"
29,"20463 Cachagua Road, Monterey County, CA"
30,"21195 Cachagua Road, Monterey County, CA"
31,"20577 Cachagua Road, Monterey County, CA"
32,"21145 Cachagua Road, Monterey County, CA"
33,"21145 Cachagua Road, Monterey County, CA"
34,"20215 Trampa Road, Monterey County, CA"
35,"3 Trampa Road, Monterey County, CA"
36,"20215 Trampa Road, Monterey County, CA"
37,"19371 Cachagua Road, Monterey County, CA"
38,"19345 Cachagua Road, Monterey County, CA"
39,"19371 Cachagua Road, Monterey County, CA"
40,"40271 Cachagua Road, Monterey County, CA"
41,"21165 Cachagua Road, Monterey County, CA"
42,"20775 Cachagua Road, Monterey County, CA"
43,"21145 Cachagua Road, Monterey County, CA"
44,"19301 Cachagua Road, Monterey County, CA"
45,"20805 Cachagua Road, Monterey County, CA"
46,"20803 Cachagua Road, Monterey County, CA"
47,"20775 Cachagua Road, Monterey County, CA"
48,"20803 Cachagua Road, Monterey County, CA"
49,"21175 Cachagua Road, Monterey County, CA"
50,"19235 Cachagua Road, Monterey County, CA"
51,"20805 Cachagua Road, Monterey County, CA"
52,"19231 Cachagua Road, Monterey County, CA"
53,"19235 Cachagua Road, Monterey County, CA"
54,"30 Trampa Road, Monterey County, CA"
55,"37302 Tassajara Road, Monterey County, CA"
56,"36405 Tassajara Road, Monterey County, CA"
57,"19143 Cachagua Road, Monterey County, CA"
58,"37302 Tassajara Road, Monterey County, CA"
59,"19260 Cachagua Road, Monterey County, CA"
60,"19237 Cachagua Road, Monterey County, CA"
61,"19277 Cachagua Road, Monterey County, CA"
62,"26 Trampa Road, Monterey County, CA"
63,"19277 Cachagua Road, Monterey County, CA"
64,"6 Asoleado Drive, Monterey County, CA"
65,"20665 Cachagua Road, Monterey County, CA"
66,"19239 Cachagua Road, Monterey County, CA"
67,"25 Trampa Road, Monterey County, CA"
68,"20785 Cachagua Road, Monterey County, CA"
69,"19425 Cachagua Road, Monterey County, CA"
70,"19239 Cachagua Road, Monterey County, CA"
71,"19425 Cachagua Road, Monterey County, CA"
72,"17 Trampa Road, Monterey County, CA"
73,"7 Asoleado Drive, Monterey County, CA"
74,"9 Trampa Road, Monterey County, CA"
75,"9 Trampa Road, Monterey County, CA"
76,"15 Trampa Road, Monterey County, CA"
77,"19231 Cachagua Road, Monterey County, CA"
78,"19231 Cachagua Road, Monterey County, CA"
79,"19231 Cachagua Road, Monterey County, CA"
80,"15 Trampa Road, Monterey County, CA"
81,"7 Trampa Road, Monterey County, CA"
82,"8 Asoleado Drive, Monterey County, CA"
83,"42 Trampa Road, Monterey County, CA"
84,"22 Trampa Road, Monterey County, CA"
85,"8 Trampa Road, Monterey County, CA"
86,"18773 Cachagua Road, Monterey County, CA"
87,"9 Asoleado Drive, Monterey County, CA"
88,"11 Trampa Road, Monterey County, CA"
89,"8 Asoleado Drive, Monterey County, CA"
90,"22 Trampa Road, Monterey County, CA"
91,"22 Trampa Road, Monterey County, CA"
92,"12 Asoleado Drive, Monterey County, CA"
93,"24 Trampa Road, Monterey County, CA"
94,"12 Asoleado Drive, Monterey County, CA"
95,"24 Trampa Road, Monterey County, CA"
96,"41 Trampa Road, Monterey County, CA"
97,"41 Trampa Road, Monterey County, CA"
98,"11 Asoleado Drive, Monterey County, CA"
99,"13 Asoleado Drive, Monterey County, CA"